element,wave_A,wave_nm,loggf,lower_state_eV,lower_state_cm1,lower_j,upper_state_eV,upper_state_cm1,upper_j,upper_g,lande_lower,lande_upper,spectrum_transition_type,turbospectrum_rad,rad,stark,waals,waals_single_gamma_format,turbospectrum_fdamp,spectrum_fudge_factor,theoretical_depth,theoretical_ew,lower_orbital_type,upper_orbital_type,molecule,spectrum_synthe_isotope,ion,spectrum_moog_species,turbospectrum_species,width_species,reference_code,spectrum_support,turbospectrum_support,moog_support,width_support,synthe_support,sme_support,wave_peak,wave_base,wave_top,note,peak,base,top,depth,relative_depth,wave_base_fit,wave_top_fit,base_fit,top_fit,mu,sig,A,baseline,gamma,mu_err,fwhm,fwhm_kms,R,depth_fit,relative_depth_fit,integrated_flux,ewr,ew,ew_err,snr,mean_flux,mean_flux_continuum,diff_wavelength,rms,telluric_wave_peak,telluric_fwhm,telluric_R,telluric_depth,grouped,reference_for_group,discarded
Fe 1,4802.88,480.288,-1.514,3.642,29374.711,3.0,6.222,50183.816,2.0,5.0,1.33,1.47,AO,91200000.0,7.96,-6.03,356.244,-7.583,356.244,1.0,0.74,60.4,s,p,F,0,1,26.0,26.0,26.0,BWL,T,T,T,T,T,T,480.288,480.2669999985749,480.33199999857334,,60289,60267,60332,0.1810893416404724,0.15888990092714994,480.2669999985749,480.33199999857334,60267,60332,480.2884773423732,0.008442495601773826,-0.18007144752451784,1.0,9999.0,0.002807297532772166,0.019880557873142635,12.409294814191583,24158.702205797366,0.18007144752451787,0.17588243308970342,0.003810707659767337,-5.100496534609325,38.10707659767337,5.481562683201002,122.38034584891325,0.9516732564159468,1.0,0.05065497361064296,0.005851988367139963,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4808.148,480.8148,-2.69,3.252,26229.15,3.0,5.829,47014.056,3.0,7.0,1.34,1.35,AO,158000000.0,8.2,-5.85,297.274,-7.667,297.274,1.0,0.45,25.23,s,p,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,480.8148,480.7949999985624,480.8359999985614,,60815,60795,60836,0.04577672481536865,0.02357728410204618,480.7949999985624,480.8359999985614,60795,60836,480.815353100829,0.008062677970515091,-0.04673412699639955,1.0,9999.0,0.009079459545720009,0.018986155701598388,11.838029399529757,25324.523861370766,0.04673412699639956,0.04667035002648989,0.0009445030890833904,-5.70677494418117,9.445030890833904,5.53801764107409,122.39658584001039,0.9594476868196861,1.0,0.04837606782309055,0.0017146423398474997,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4809.137,480.9137,-2.228,3.695,29802.185,4.0,6.272,50587.091,3.0,7.0,0.98,1.02,GA,61700000.0,7.79,-6.13,-7.8,-7.8,-7.8,1.0,0.47,26.51,s,p,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,480.9137,480.91099999855965,480.9419999985589,,60914,60911,60942,0.02269512414932251,0.0004956834360000384,480.91099999855965,480.9419999985589,60911,60942,480.9154130874312,0.012294486708007436,-0.023654626626299774,1.0,9999.0,0.01116961024494173,0.028951303743382478,18.047628076239903,16611.183294201597,0.0236546266262998,0.022099124211596433,0.0007289813763216183,-5.8193522629022985,7.289813763216182,8.50672736172893,122.4567891771459,0.966930539624111,1.0,0.07376692024804461,0.0022111807373614047,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4809.933,480.9933,-1.891,4.178,33697.843,5.0,6.755,54482.751,4.0,9.0,1.42,1.5,GA,170000000.0,8.23,-5.13,-7.31,-7.31,-7.31,1.0,0.39,22.47,p,s,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,480.9933,480.9759999985581,481.022999998557,,60994,60976,61023,0.023292601108551025,0.001093160395228554,480.9759999985581,481.022999998557,60976,61023,480.99551953067237,0.009125605641336706,-0.027018182254951624,1.0,9999.0,0.005222709528229726,0.021489159087267187,13.393654538426635,22383.170861984687,0.027018182254951673,0.02006303546540089,0.0006180274403514047,-5.891133272798275,6.180274403514047,6.291373312906333,122.40010645967271,0.9771050355651162,1.0,0.05475363384802023,0.003610282677960931,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4896.439,489.6439,-1.89,3.884,31326.573,3.0,6.415,51740.464,2.0,5.0,1.32,1.13,AO,155000000.0,8.19,-5.57,742.244,-7.264,742.244,1.0,0.53,34.63,p,s,F,0,1,26.0,26.0,26.0,GESHRL14,T,T,T,T,T,T,489.6439,489.62199999835366,489.6869999983521,,69644,69622,69687,0.03691893815994263,0.014719497446620156,489.62199999835366,489.6869999983521,69622,69687,489.645570254121,0.005652904544411832,-0.037506226992756575,1.0,9999.0,0.004283909059449712,0.013311572933827528,8.150199679346203,36783.44946071909,0.03750622699275663,0.008159880137593056,0.0005314531234888233,-5.964416866008054,5.314531234888233,3.848697126098457,122.49568518409271,1.0059628258733189,1.0,0.03391742726647099,0.01737138741266195,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4909.383,490.9383,-1.231,3.929,31689.522,2.0,6.453,52046.956,2.0,5.0,1.17,1.57,GA,102000000.0,8.01,-5.57,-7.53,-7.53,-7.53,1.0,0.72,61.97,d,f,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,490.9383,490.9069999983233,490.9699999983218,,70939,70907,70970,0.16686999797821045,0.14467055726488798,490.9069999983233,490.9699999983218,70907,70970,490.93866022071734,0.0085977348725575,-0.16377530405534063,1.0,9999.0,0.0026297324142391704,0.020246118419760015,12.363323766945001,24248.532486185894,0.1637753040553407,0.15603409121049205,0.003529574858607173,-5.143304835813415,35.29574858607173,5.609662287846412,122.39291730862872,0.9604730727603135,1.0,0.05158640923534499,0.0060639191677914275,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4910.325,491.0325,-0.459,4.191,33802.695,2.0,6.715,54160.129,3.0,7.0,1.5,1.14,GA,295000000.0,8.47,-4.63,-7.51,-7.51,-7.51,1.0,0.78,92.71,d,f,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,491.0325,491.01799999832065,491.04499999832,,71033,71018,71045,0.2305803894996643,0.20838094878634184,491.01799999832065,491.04499999832,71018,71045,491.03398883636555,0.011000656413580612,-0.22792216375453275,1.0,9999.0,0.006452938067555136,0.025904566231197898,15.815592729697148,18955.499368485616,0.22792216375453278,0.139141164570878,0.006284852560577249,-4.892816460737768,62.848525605772494,7.109632565609887,122.41803715326198,0.8896629896127817,1.0,0.06600393848148367,0.008752090976023223,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4913.136,491.3136,-1.656,4.608,37166.025,3.0,7.13,57507.33,3.0,7.0,1.09,1.2,GA,148000000.0,8.17,-4.62,-7.32,-7.32,-7.32,1.0,0.29,16.87,p,s,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,491.3136,491.2809999983144,491.3359999983131,,71314,71281,71336,0.025247693061828613,0.003048252348506142,491.2809999983144,491.3359999983131,71281,71336,491.3158446316755,0.008350852774034086,-0.027262385227672,1.0,9999.0,0.010683249348263417,0.019664755505397775,11.99909478464264,24984.589536178788,0.027262385227671992,0.015716727116099727,0.0005706694338745074,-5.934976158544023,5.7066943387450735,5.738183571786898,122.52604561588916,0.9856000024080277,1.0,0.050105116644204514,0.005076070869262628,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4917.23,491.723,-1.08,4.191,33802.695,2.0,6.712,54135.93,1.0,3.0,1.5,1.55,AO,295000000.0,8.47,-4.72,962.278,-7.158,962.278,1.0,0.7,62.49,d,f,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,491.723,491.6889999983048,491.7589999983031,,71724,71689,71759,0.18627417087554932,0.16407473016222685,491.6889999983048,491.7589999983031,71689,71759,491.72351892812446,0.009088908528103087,-0.18587234692897914,1.0,9999.0,0.003407767410880404,0.02140274398942989,13.048758055182223,22974.78861453328,0.18587234692897914,0.17799851374950526,0.004234639550968153,-5.0649045314572705,42.34639550968153,5.871569339661648,122.60267432647362,0.9539285730231892,1.0,0.05453345116861852,0.007248305672462262,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4939.687,493.9687,-3.336,0.859,6928.303,5.0,3.368,27164.752,4.0,9.0,1.4,1.36,AO,17800000.0,7.25,-6.15,244.246,-7.747,244.246,1.0,0.85,101.22,s,p,F,0,1,26.0,26.0,26.0,BKK+GESB79,T,T,T,F,T,T,493.9687,493.9469999982514,493.9929999982503,,73969,73947,73993,0.3124319911003113,0.2902325503869888,493.9469999982514,493.9929999982503,73947,73993,493.96906395229826,0.009089452972131418,-0.3134822700011661,1.0,9999.0,0.0038568113925175973,0.0214040260571412,12.990217507600972,23078.324733560643,0.31348227000116613,0.2554839704024723,0.007142342365681153,-4.839859086887818,71.42342365681154,5.701036025898098,122.49910254172991,0.8537524495649775,1.0,0.05453671783278851,0.019907436835428737,0.0,0.0,0.0,0.0,False,False,False
