element,wave_A,wave_nm,loggf,lower_state_eV,lower_state_cm1,lower_j,upper_state_eV,upper_state_cm1,upper_j,upper_g,lande_lower,lande_upper,spectrum_transition_type,turbospectrum_rad,rad,stark,waals,waals_single_gamma_format,turbospectrum_fdamp,spectrum_fudge_factor,theoretical_depth,theoretical_ew,lower_orbital_type,upper_orbital_type,molecule,spectrum_synthe_isotope,ion,spectrum_moog_species,turbospectrum_species,width_species,reference_code,spectrum_support,turbospectrum_support,moog_support,width_support,synthe_support,sme_support,wave_peak,wave_base,wave_top,note,peak,base,top,depth,relative_depth,wave_base_fit,wave_top_fit,base_fit,top_fit,mu,sig,A,baseline,gamma,mu_err,fwhm,fwhm_kms,R,depth_fit,relative_depth_fit,integrated_flux,ewr,ew,ew_err,snr,mean_flux,mean_flux_continuum,diff_wavelength,rms,telluric_wave_peak,telluric_fwhm,telluric_R,telluric_depth,grouped,reference_for_group,discarded
Fe 1,4802.88,480.288,-1.514,3.642,29374.711,3.0,6.222,50183.816,2.0,5.0,1.33,1.47,AO,91200000.0,7.96,-6.03,356.244,-7.583,356.244,1.0,0.74,60.4,s,p,F,0,1,26.0,26.0,26.0,BWL,T,T,T,T,T,T,480.288,480.2649999985749,480.32699999857346,,60289,60265,60327,0.1628812551498413,0.14252733596421163,480.2649999985749,480.32699999857346,60265,60327,480.2884638099976,0.009648002316213274,-0.1627498838515091,1.0,9999.0,0.004072081957622886,0.022719309248724045,14.181222488057887,21140.099751799076,0.16274988385150913,0.16252791615436557,0.003935935932342863,-5.086454134779574,39.359359323428635,8.549129588159296,90.24509411542925,0.9570182654364355,1.0,0.05788801389727964,0.005013363467729778,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4808.148,480.8148,-2.69,3.252,26229.15,3.0,5.829,47014.056,3.0,7.0,1.34,1.35,AO,158000000.0,8.2,-5.85,297.274,-7.667,297.274,1.0,0.45,25.23,s,p,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,480.8148,480.79699999856234,480.83399999856147,,60815,60797,60834,0.03407472372055054,0.01372080453492086,480.79699999856234,480.83399999856147,60797,60834,480.81479925390374,0.008953029810939234,-0.034783831980990436,1.0,9999.0,0.015469472243377969,0.02108277406255936,13.14530390387521,22806.049992622975,0.03478383198099044,0.03133159056024459,0.0007806158934850028,-5.789540437228975,7.806158934850028,8.379018107065484,90.34791907419321,0.9569319118963224,1.0,0.0537181788656354,0.0011417990888634103,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4809.137,480.9137,-2.228,3.695,29802.185,4.0,6.272,50587.091,3.0,7.0,0.98,1.02,GA,61700000.0,7.79,-6.13,-7.8,-7.8,-7.8,1.0,0.47,26.51,s,p,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,480.9137,480.83399999856147,480.9719999985582,,60914,60834,60972,0.021794140338897705,0.0014402211532680287,480.83399999856147,480.9719999985582,60834,60972,480.8660903424095,0.015162650406663555,-0.10741165841677301,1.0,9999.0,0.005237414045081077,0.035705313113408015,22.26021713093995,13467.63404132802,0.10741165841677303,0.10446277822115535,0.004082408674594926,-5.07110767448188,40.82408674594926,13.722395954496013,90.31621338777282,0.9668295180404579,1.0,0.09097590243998133,0.011899986724695315,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4909.383,490.9383,-1.231,3.929,31689.522,2.0,6.453,52046.956,2.0,5.0,1.17,1.57,GA,102000000.0,8.01,-5.57,-7.53,-7.53,-7.53,1.0,0.72,61.97,d,f,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,490.9383,490.89999999832344,490.96799999832183,,70939,70900,70968,0.14684337377548218,0.1264894545898525,490.89999999832344,490.96799999832183,70900,70968,490.9389789378444,0.009784550055735163,-0.14616461575282816,1.0,9999.0,0.004027804236142905,0.023040854602853853,14.06992463860706,21307.32507105168,0.14616461575282813,0.13644548237575294,0.003584866958126776,-5.136554472289298,35.848669581267764,8.68783934695848,90.73394620589762,0.9568813687715775,1.0,0.058707300334410975,0.004777426859590126,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4910.325,491.0325,-0.459,4.191,33802.695,2.0,6.715,54160.129,3.0,7.0,1.5,1.14,GA,295000000.0,8.47,-4.63,-7.51,-7.51,-7.51,1.0,0.78,92.71,d,f,F,0,1,26.0,26.0,26.0,K07,T,T,T,T,T,T,491.0325,491.01799999832065,491.04499999832,,71033,71018,71045,0.21333318948745728,0.1929792703018276,491.01799999832065,491.04499999832,71018,71045,491.03504489570895,0.014046712104882297,-0.21118396304847825,1.0,9999.0,0.008182702932039243,0.03307747923135571,20.194849443624175,14844.995940024159,0.2111839630484782,0.10543441556694133,0.007435763206459633,-4.819786937467361,74.35763206459633,12.33218859370291,90.58880483463685,0.8980635062477292,1.0,0.08428027262929377,0.007363137868240672,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4917.23,491.723,-1.08,4.191,33802.695,2.0,6.712,54135.93,1.0,3.0,1.5,1.55,AO,295000000.0,8.47,-4.72,962.278,-7.158,962.278,1.0,0.7,62.49,d,f,F,0,1,26.0,26.0,26.0,MRW,T,T,T,T,T,T,491.723,491.68199999830495,491.76199999830305,,71724,71682,71762,0.1851610541343689,0.16480713494873922,491.68199999830495,491.76199999830305,71682,71762,491.7234038715222,0.010747353398528359,-0.18429759120092154,1.0,9999.0,0.0036508473939946,0.025308083213886078,15.429756676665786,19429.500042173193,0.18429759120092148,0.17354401921376938,0.004964907056581564,-4.995809756406037,49.64907056581564,9.367854119349037,91.09744372650566,0.9471601548120957,1.0,0.06448412039117016,0.011800883020987288,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4939.687,493.9687,-3.336,0.859,6928.303,5.0,3.368,27164.752,4.0,9.0,1.4,1.36,AO,17800000.0,7.25,-6.15,244.246,-7.747,244.246,1.0,0.85,101.22,s,p,F,0,1,26.0,26.0,26.0,BKK+GESB79,T,T,T,F,T,T,493.9687,493.9469999982514,493.9939999982503,,73969,73947,73994,0.27914685010910034,0.25879293092347067,493.9469999982514,493.9939999982503,73947,73994,493.96913822564835,0.010186121490854391,-0.27822280724041576,1.0,9999.0,0.003619197698130819,0.023986483067784458,14.557522244196566,20593.645880878794,0.2782228072404158,0.2212523301362288,0.0071038128955039186,-4.842208302086221,71.03812895503918,8.815915134187698,89.84629144131475,0.8691857510902843,1.0,0.06111672894512635,0.01705625537506119,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4946.387,494.6387,-1.11,3.368,27164.752,4.0,5.874,47377.006,4.0,9.0,1.36,1.33,AO,79400000.0,7.9,-5.27,848.232,-7.204,848.232,1.0,0.8,110.77,p,s,F,0,1,26.0,26.0,26.0,2014MNRAS.,T,T,T,T,T,T,494.6387,494.61299999823564,494.6789999982341,,74639,74613,74679,0.2805313467979431,0.26017742761231344,494.61299999823564,494.6789999982341,74613,74679,494.63925091487897,0.010397292750771295,-0.2799044867732836,1.0,9999.0,0.0031448048612721306,0.024483753383571224,14.83918753788862,20202.75417603191,0.2799044867732836,0.2624920030811144,0.007294912156986232,-4.831268509167903,72.94912156986231,8.816657869333465,90.23367286648322,0.9212029557228089,1.0,0.06238375650462777,0.013999493417106912,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4950.105,495.0105,-1.49,3.417,27559.964,2.0,5.921,47756.086,3.0,7.0,1.0,1.24,AO,79400000.0,7.9,-5.36,880.228,-7.187,880.228,1.0,0.76,80.75,p,s,F,0,1,26.0,26.0,26.0,GESHRL14,T,T,T,T,T,T,495.0105,494.9829999982269,495.0549999982252,,75011,74983,75055,0.19947314262390137,0.1791192234382717,494.9829999982269,495.0549999982252,74983,75055,495.0114145215425,0.01059277382385896,-0.19935967101649038,1.0,9999.0,0.003755591449814358,0.024944076132902216,15.106815069405743,19844.848607906668,0.19935967101649044,0.16828967704371212,0.005293427165833761,-4.970878271649337,52.93427165833761,9.277358155319384,90.25767890470941,0.93851450860031,1.0,0.06355664294315376,0.01864515480966066,0.0,0.0,0.0,0.0,False,False,False
Fe 1,4957.298,495.7298,-0.407,2.851,22994.867,4.0,5.352,43166.793,4.0,9.0,1.49,1.66,AO,151000000.0,8.18,-5.41,727.238,-7.272,727.238,1.0,0.88,313.33,p,s,F,0,1,26.0,26.0,26.0,BWL,T,T,T,T,T,T,495.7298,495.6809999982104,495.7429999982089,,75730,75681,75743,0.4876411557197571,0.4672872365341274,495.6809999982104,495.7429999982089,75681,75743,495.7335387795745,0.014677185808810791,-0.4937721881029665,1.0,9999.0,0.0034833739442227687,0.03456213134723144,20.901281635722736,14343.25718512972,0.4937721881029665,0.4537164363024294,0.01816600172014329,-4.435988951052526,181.6600172014329,11.661442564862512,90.08201324234867,0.7944583637131886,1.0,0.08806311485286475,0.02301950290239151,0.0,0.0,0.0,0.0,False,False,False
