element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ni 1	4200.454	420.0454	-1.360	3.3060	26664.688	3.0	6.2570	50466.109	4.0	9.0	1.500	1.270	AO	7.41E+07	7.870	-5.420	787.230	-7.236	787.230	1.000	0.670	39.360	d	f	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	420.0470	420.0310	420.0540		120048	120031	120054	0.390	0.321	420.0310	420.0540	120031	120054	420.0468	0.0038	-0.4119	1.000	9999.0000	0.0014	0.0090	6.4154	46730	0.412	0.393	0.0039	-5.03	39.4	2.3	124.2	0.785	1.000	0.0229	0.025	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4205.538	420.5538	-1.435	3.4170	27559.964	2.0	6.3640	51329.121	2.0	5.0	1.000	1.980	AO	2.34E+08	8.370	-5.050	827.282	-7.224	827.282	1.000	0.840	76.390	p	d	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	420.5550	420.5470	420.5720		120556	120547	120572	0.693	0.624	420.5470	420.5720	120547	120572	420.5550	0.0046	-0.7037	1.000	9999.0000	0.0011	0.0109	7.7370	38748	0.704	0.692	0.0081	-4.71	81.3	2.4	124.2	0.779	1.000	0.0277	0.027	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4214.830	421.4830	-1.741	4.0760	32875.159	4.0	7.0170	56595.924	4.0	9.0	1.260	1.150	GA	1.66E+08	8.220	-5.130	-7.720	-7.720	-7.720	1.000	0.570	30.000	d	p	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	421.4850	421.4730	421.4980		121486	121473	121498	0.197	0.128	421.4730	421.4980	121473	121498	421.4858	0.0069	-0.1937	1.000	9999.0000	0.0035	0.0163	11.5587	25936	0.194	0.148	0.0034	-5.10	33.5	4.5	124.2	0.872	1.000	0.0414	0.019	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4220.049	422.0049	-1.660	3.9290	31689.522	2.0	6.8660	55378.027	1.0	3.0	1.170	1.460	AO	4.57E+07	7.660	-4.860	1172.290	-7.074	1172.290	1.000	0.670	42.490	p	d	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	422.0060	421.9820	422.0200		122007	121982	122020	0.427	0.358	421.9820	422.0200	121982	122020	422.0061	0.0042	-0.4355	1.000	9999.0000	0.0013	0.0098	6.9427	43181	0.436	0.426	0.0045	-4.97	45.3	2.4	124.2	0.863	1.000	0.0249	0.025	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4223.729	422.3729	-2.910	2.9490	23785.288	5.0	5.8830	47449.595	4.0	9.0	1.200	1.030	AO	1.70E+07	7.230	-6.290	330.258	-7.619	330.258	1.000	0.530	26.240	s	p	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	422.3740	422.3680	422.3850		122375	122368	122385	0.319	0.251	422.3680	422.3850	122368	122385	422.3740	0.0037	-0.3301	1.000	9999.0000	0.0021	0.0087	6.2005	48350	0.330	0.304	0.0031	-5.14	30.7	2.3	124.2	0.769	1.000	0.0223	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4228.717	422.8717	-2.540	3.3680	27164.752	4.0	6.2990	50804.860	4.0	9.0	1.360	1.570	AO	2.40E+08	8.380	-5.070	780.295	-7.252	780.295	1.000	0.490	25.610	d	f	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	422.8730	422.8620	422.8920		122874	122862	122892	0.296	0.227	422.8620	422.8920	122862	122892	422.8728	0.0038	-0.3102	1.000	9999.0000	0.0016	0.0089	6.3404	47283	0.310	0.284	0.0030	-5.16	29.5	2.3	124.2	0.905	1.000	0.0228	0.024	0.0000	0.0000	0	0.000	False	False	False
V 2	4234.256	423.4256	-1.921	1.6860	13598.507	2.0	4.6130	37206.354	3.0	7.0	1.780	1.320	GA	2.40E+08	8.380	-6.460	-7.860	-7.860	-7.860	1.000	0.320	15.190	s	p	F	0	2	23.1	23.000000	23.01	K10	T	T	T	T	T	T	423.4230	423.4150	423.4350		123424	123415	123435	0.106	0.037	423.4150	423.4350	123415	123435	423.4233	0.0053	-0.1067	1.000	9999.0000	0.0051	0.0126	8.8997	33686	0.107	0.082	0.0014	-5.47	14.3	3.6	124.2	0.910	1.000	0.0320	0.006	0.0000	0.0000	0	0.000	False	False	False
Mn 1	4235.284	423.5284	0.170	2.8880	23293.291	3.5	5.8150	46901.139	2.5	6.0	1.430	1.600	AO	1.05E+08	8.020	-5.870	340.245	-7.603	340.245	1.000	0.860	85.470	s	p	F	0	1	25.0	25.000000	25.00	MFW	T	T	T	T	T	T	423.5300	423.5220	423.5460		123531	123522	123546	0.703	0.635	423.5220	423.5460	123522	123546	423.5297	0.0049	-0.7225	1.000	9999.0000	0.0012	0.0115	8.1671	36707	0.722	0.657	0.0089	-4.68	88.7	2.6	124.2	0.710	1.000	0.0294	0.042	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4255.500	425.5500	-2.014	3.0180	24341.811	3.0	5.9300	47828.675	2.0	5.0	0.760	0.470	GA	3.89E+07	7.590	-6.030	-7.820	-7.820	-7.820	1.000	0.820	59.650	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	425.5520	425.5400	425.5570		125553	125540	125557	0.543	0.474	425.5400	425.5570	125540	125557	425.5516	0.0045	-0.5795	1.000	9999.0000	0.0015	0.0106	7.4664	40152	0.580	0.547	0.0065	-4.81	65.4	2.6	124.2	0.681	1.000	0.0270	0.027	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4256.805	425.6805	-1.560	4.2560	34326.956	3.0	7.1680	57813.821	3.0	7.0	1.240	1.420	AO	2.69E+08	8.430	-4.960	651.294	-7.330	651.294	1.000	0.570	31.520	d	f	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	425.6820	425.6710	425.6970		125683	125671	125697	0.341	0.273	425.6710	425.6970	125671	125697	425.6815	0.0036	-0.3714	1.000	9999.0000	0.0015	0.0084	5.9413	50459	0.371	0.356	0.0033	-5.11	33.4	2.1	124.2	0.901	1.000	0.0215	0.006	0.0000	0.0000	0	0.000	False	False	False
