element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ni 1	4200.454	420.0454	-1.360	3.3060	26664.688	3.0	6.2570	50466.109	4.0	9.0	1.500	1.270	AO	7.41E+07	7.870	-5.420	787.230	-7.236	787.230	1.000	0.670	39.360	d	f	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	420.0470	420.0310	420.0540		120048	120031	120054	0.390	0.321	420.0310	420.0540	120031	120054	420.0468	0.0038	-0.4119	1.000	9999.0000	0.0014	0.0090	6.4154	46730	0.412	0.393	0.0039	-5.03	39.4	2.3	124.2	0.785	1.000	0.0229	0.025	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4202.753	420.2753	-2.220	3.0470	24575.712	4.0	5.9960	48361.000	4.0	9.0	1.000	0.930	GA	1.00E+07	7.000	-6.160	-7.820	-7.820	-7.820	1.000	0.790	50.330	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	420.2770	420.2660	420.2870		120278	120266	120287	0.559	0.491	420.2660	420.2870	120266	120287	420.2765	0.0039	-0.5982	1.000	9999.0000	0.0012	0.0092	6.5659	45659	0.598	0.507	0.0059	-4.86	58.6	2.1	124.2	0.789	1.000	0.0235	0.040	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4205.538	420.5538	-1.435	3.4170	27559.964	2.0	6.3640	51329.121	2.0	5.0	1.000	1.980	AO	2.34E+08	8.370	-5.050	827.282	-7.224	827.282	1.000	0.840	76.390	p	d	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	420.5550	420.5470	420.5720		120556	120547	120572	0.693	0.624	420.5470	420.5720	120547	120572	420.5550	0.0046	-0.7037	1.000	9999.0000	0.0011	0.0109	7.7370	38748	0.704	0.692	0.0081	-4.71	81.3	2.4	124.2	0.779	1.000	0.0277	0.027	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4212.841	421.2841	-2.159	3.8470	31028.147	3.0	6.7900	54765.043	4.0	9.0	1.050	1.230	GA	1.45E+08	8.160	-3.480	-7.270	-7.270	-7.270	1.000	0.080	3.690	p	d	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	421.2860	421.2810	421.2940		121287	121281	121294	0.060	-0.009	421.2810	421.2940	121281	121294	421.2863	0.0029	-0.0613	1.000	9999.0000	0.0049	0.0069	4.9352	60746	0.061	0.061	0.0005	-5.97	4.5	2.0	124.2	0.909	1.000	0.0177	0.002	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4214.830	421.4830	-1.741	4.0760	32875.159	4.0	7.0170	56595.924	4.0	9.0	1.260	1.150	GA	1.66E+08	8.220	-5.130	-7.720	-7.720	-7.720	1.000	0.570	30.000	d	p	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	421.4850	421.4730	421.4980		121486	121473	121498	0.197	0.128	421.4730	421.4980	121473	121498	421.4858	0.0069	-0.1937	1.000	9999.0000	0.0035	0.0163	11.5587	25936	0.194	0.148	0.0034	-5.10	33.5	4.5	124.2	0.872	1.000	0.0414	0.019	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4219.360	421.9360	0.000	3.5730	28818.188	5.0	6.5110	52514.758	6.0	13.0	1.000	1.020	AO	1.12E+08	8.050	-6.090	285.265	-7.684	285.265	1.000	0.910	154.960	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	421.9390	421.9270	421.9670		121940	121927	121967	0.857	0.789	421.9270	421.9670	121927	121967	421.9387	0.0071	-0.8756	1.000	9999.0000	0.0014	0.0167	11.8977	25198	0.876	0.858	0.0156	-4.43	156.1	3.3	124.2	0.780	1.000	0.0427	0.034	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4220.049	422.0049	-1.660	3.9290	31689.522	2.0	6.8660	55378.027	1.0	3.0	1.170	1.460	AO	4.57E+07	7.660	-4.860	1172.290	-7.074	1172.290	1.000	0.670	42.490	p	d	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	422.0060	421.9820	422.0200		122007	121982	122020	0.427	0.358	421.9820	422.0200	121982	122020	422.0061	0.0042	-0.4355	1.000	9999.0000	0.0013	0.0098	6.9427	43181	0.436	0.426	0.0045	-4.97	45.3	2.4	124.2	0.863	1.000	0.0249	0.025	0.0000	0.0000	0	0.000	False	False	False
Cr 1	4222.728	422.2728	-0.980	3.0130	24301.484	2.0	5.9480	47973.855	3.0	7.0	1.510	1.360	AO	2.29E+08	8.360	-5.140	347.242	-7.594	347.242	1.000	0.370	17.650	s	p	F	0	1	24.0	24.000000	24.00	MFW	T	T	T	T	T	T	422.2740	422.2680	422.2830		122275	122268	122283	0.191	0.123	422.2680	422.2830	122268	122283	422.2738	0.0035	-0.2008	1.000	9999.0000	0.0027	0.0083	5.8907	50893	0.201	0.186	0.0018	-5.38	17.7	2.3	124.2	0.899	1.000	0.0211	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4223.729	422.3729	-2.910	2.9490	23785.288	5.0	5.8830	47449.595	4.0	9.0	1.200	1.030	AO	1.70E+07	7.230	-6.290	330.258	-7.619	330.258	1.000	0.530	26.240	s	p	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	422.3740	422.3680	422.3850		122375	122368	122385	0.319	0.251	422.3680	422.3850	122368	122385	422.3740	0.0037	-0.3301	1.000	9999.0000	0.0021	0.0087	6.2005	48350	0.330	0.304	0.0031	-5.14	30.7	2.3	124.2	0.769	1.000	0.0223	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4227.426	422.7426	0.266	3.3320	26874.393	5.0	6.2640	50522.567	6.0	13.0	1.400	1.350	GA	1.41E+08	8.150	-4.980	-7.550	-7.550	-7.550	1.000	0.930	286.400	p	d	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	422.7440	422.7230	422.7690		122745	122723	122769	0.893	0.824	422.7230	422.7690	122723	122769	422.7432	0.0152	-0.8749	1.000	9999.0000	0.0013	0.0359	25.4480	11781	0.875	0.534	0.0334	-4.10	334.2	8.4	124.2	0.444	1.000	0.0914	0.084	0.0000	0.0000	0	0.000	False	False	False
