element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	4801.618	480.1618	-2.650	4.2840	34552.790	0.0	6.8660	55378.027	1.0	3.0	0.000	1.460	AO	4.57E+07	7.660	-4.860	1150.295	-7.083	1150.295	1.000	0.080	4.090	p	d	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	480.1610	480.1411	480.1740		57	50	61	0.039	-0.072	480.1411	480.1740	50	61	480.1617	0.0050	-0.0405	1.000	9999.0000	0.0117	0.0118	7.3600	40733	0.041	0.034	0.0005	-5.98	5.1	3.6	114.8	0.992	1.000	0.0300	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4808.148	480.8148	-2.690	3.2520	26229.150	3.0	5.8290	47014.056	3.0	7.0	1.340	1.350	AO	1.58E+08	8.200	-5.850	297.274	-7.667	297.274	1.000	0.450	25.230	s	p	F	0	1	26.0	26.000000	26.00	MRW	T	T	T	T	T	T	480.8150	480.7976	480.8330		277	271	283	0.250	0.139	480.7976	480.8330	271	283	480.8152	0.0045	-0.2480	1.000	9999.0000	0.0040	0.0105	6.5744	45600	0.248	0.242	0.0028	-5.24	27.8	3.0	115.8	0.941	1.000	0.0269	0.008	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4808.874	480.8874	-1.410	3.7060	29890.907	2.0	6.2830	50675.813	3.0	7.0	1.040	0.770	AO	1.66E+08	8.220	-5.580	810.278	-7.232	810.278	1.000	0.390	22.770	p	d	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	480.8880	480.8803	480.9038		302	299	307	0.186	0.075	480.8803	480.9038	299	307	480.8874	0.0050	-0.1959	1.000	9999.0000	0.0064	0.0118	7.3471	40804	0.196	0.162	0.0025	-5.29	24.6	3.6	113.7	0.852	1.000	0.0300	0.017	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4811.983	481.1983	-1.450	3.6580	29503.760	1.0	6.2340	50280.603	0.0	1.0	1.430	0.000	GA	1.35E+08	8.130	-5.400	-7.750	-7.750	-7.750	1.000	0.410	22.350	p	s	F	0	1	28.0	28.000000	28.00	2003ApJ...	T	T	T	T	T	T	481.1990	481.1715	481.2126		408	398	412	0.167	0.056	481.1715	481.2126	398	412	481.1983	0.0050	-0.1943	1.000	9999.0000	0.0056	0.0117	7.2669	41254	0.194	0.194	0.0024	-5.30	24.1	3.4	116.2	0.935	1.000	0.0297	0.013	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4814.591	481.4591	-1.630	3.5970	29011.761	2.0	6.1720	49780.537	3.0	7.0	0.360	1.230	AO	1.32E+08	8.120	-5.460	743.236	-7.262	743.236	1.000	0.330	18.600	p	s	F	0	1	28.0	28.000000	28.00	2014ApJS..	T	T	T	T	T	T	481.4600	481.4470	481.4790		497	492	503	0.148	0.037	481.4470	481.4790	492	503	481.4603	0.0052	-0.1529	1.000	9999.0000	0.0065	0.0122	7.5887	39505	0.153	0.130	0.0020	-5.39	19.8	3.6	117.1	0.930	1.000	0.0311	0.016	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4835.868	483.5868	-1.400	4.1030	33092.928	4.0	6.6670	53772.980	4.0	9.0	1.500	1.230	AO	2.88E+08	8.460	-5.410	900.277	-7.186	900.277	1.000	0.650	48.970	d	f	F	0	1	26.0	26.000000	26.00	MRW	T	T	T	T	T	T	483.5870	483.5682	483.6049		1238	1231	1244	0.403	0.292	483.5682	483.6049	1231	1244	483.5873	0.0048	-0.4083	1.000	9999.0000	0.0031	0.0114	7.0573	42480	0.408	0.406	0.0049	-4.99	49.5	3.6	98.5	0.895	1.000	0.0290	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4838.085	483.8085	-3.220	3.2520	26229.150	3.0	5.8130	46885.009	2.0	5.0	1.340	1.260	AO	1.05E+08	8.020	-6.060	295.274	-7.670	295.274	1.000	0.190	9.710	s	p	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	483.8090	483.7960	483.8325		1317	1312	1325	0.091	-0.020	483.7960	483.8325	1312	1325	483.8095	0.0051	-0.0919	1.000	9999.0000	0.0072	0.0120	7.4267	40367	0.092	0.086	0.0012	-5.62	11.7	4.6	91.0	0.972	1.000	0.0305	0.012	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4839.544	483.9544	-1.822	3.2670	26350.132	5.0	5.8280	47005.991	5.0	11.0	1.030	1.060	AO	3.55E+07	7.550	-5.800	238.249	-7.759	238.249	1.000	0.750	61.580	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	483.9550	483.9306	483.9698		1369	1360	1374	0.509	0.398	483.9306	483.9698	1360	1374	483.9551	0.0049	-0.5133	1.000	9999.0000	0.0025	0.0115	7.1097	42167	0.513	0.511	0.0063	-4.89	62.7	4.0	84.8	0.869	1.000	0.0292	0.016	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4839.886	483.9886	-1.329	4.7330	38174.218	3.0	7.2940	58830.079	3.0	7.0	1.320	1.340	GA	2.40E+08	8.380	-4.100	-7.300	-7.300	-7.300	1.000	0.390	24.480	p	s	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	483.9880	483.9698	483.9978		1381	1374	1384	0.103	-0.008	483.9698	483.9978	1374	1384	483.9876	0.0106	-0.1010	1.000	9999.0000	0.0120	0.0250	15.4913	19352	0.101	0.058	0.0027	-5.26	26.9	10.7	83.8	0.852	1.000	0.0637	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4842.788	484.2788	-1.460	4.1030	33092.928	4.0	6.6630	53740.721	5.0	11.0	1.500	1.250	AO	2.95E+08	8.470	-4.630	895.277	-7.189	895.277	1.000	0.630	45.870	p	d	F	0	1	26.0	26.000000	26.00	MRW	T	T	T	T	T	T	484.2790	484.2600	484.2990		1485	1478	1492	0.361	0.250	484.2600	484.2990	1478	1492	484.2787	0.0053	-0.3609	1.000	9999.0000	0.0033	0.0125	7.7673	38597	0.361	0.346	0.0048	-5.00	48.2	5.4	73.3	0.887	1.000	0.0320	0.020	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4852.554	485.2554	-1.070	3.5420	28568.157	2.0	6.0970	49175.623	1.0	3.0	1.490	1.000	AO	2.19E+08	8.340	-4.030	813.279	-7.231	813.279	1.000	0.630	45.340	p	d	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	485.2560	485.2364	485.2747		1840	1832	1846	0.333	0.222	485.2364	485.2747	1832	1846	485.2559	0.0047	-0.3806	1.000	9999.0000	0.0039	0.0112	6.9032	43428	0.381	0.367	0.0045	-5.03	45.3	8.1	42.8	0.906	1.000	0.0285	0.017	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4866.262	486.6262	-0.210	3.5390	28543.960	5.0	6.0860	49086.901	4.0	9.0	1.380	1.330	GA	1.26E+08	8.100	-5.460	-7.580	-7.580	-7.580	1.000	0.790	83.160	p	s	F	0	1	28.0	28.000000	28.00	WLa	T	T	T	T	T	T	486.6280	486.6068	486.6520		2349	2340	2357	0.493	0.382	486.6068	486.6520	2340	2357	486.6275	0.0058	-0.5780	1.000	9999.0000	0.0022	0.0136	8.3660	35835	0.578	0.513	0.0084	-4.77	83.6	13.2	29.5	0.830	1.000	0.0346	0.052	0.0000	0.0000	0	0.000	False	False	False
Si 1	4866.880	486.6880	-2.412	4.9540	39956.705	2.0	7.5010	60499.645	2.0	5.0	1.500	1.190	GA	3.39E+08	8.530	-3.860	-7.130	-7.130	-7.130	1.000	0.240	18.280	s	p	F	0	1	14.0	14.000000	14.00	K07	T	T	T	T	T	T	486.6900	486.6785	486.6998		2372	2367	2375	0.075	-0.036	486.6785	486.6998	2367	2375	486.6907	0.0106	-0.0724	1.000	9999.0000	0.0145	0.0250	15.3748	19499	0.072	0.025	0.0019	-5.40	19.2	30.2	29.6	0.911	1.000	0.0636	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4869.463	486.9463	-2.420	3.5470	28608.484	2.0	6.0920	49135.294	3.0	7.0	1.030	1.210	AO	3.39E+07	7.530	-6.100	246.248	-7.744	246.248	1.000	0.440	24.760	s	p	F	0	1	26.0	26.000000	26.00	MRW	T	T	T	T	T	T	486.9470	486.9250	486.9673		2469	2460	2476	0.194	0.083	486.9250	486.9673	2460	2476	486.9465	0.0052	-0.2193	1.000	9999.0000	0.0053	0.0122	7.4840	40058	0.219	0.204	0.0028	-5.23	28.4	13.6	29.8	0.939	1.000	0.0310	0.015	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4874.353	487.4353	-3.088	3.0710	24769.286	1.0	5.6140	45279.963	2.0	5.0	1.470	1.200	AO	6.46E+07	7.810	-5.960	216.259	-7.803	216.259	1.000	0.330	17.450	s	p	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	487.4360	487.4224	487.4487		2655	2649	2659	0.157	0.046	487.4224	487.4487	2649	2659	487.4356	0.0043	-0.1905	1.000	9999.0000	0.0062	0.0101	6.2017	48341	0.191	0.176	0.0020	-5.38	20.5	11.0	30.6	0.963	1.000	0.0257	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4878.211	487.8211	-0.887	2.8850	23269.094	0.0	5.4260	43763.643	1.0	3.0	0.000	3.000	AO	1.51E+08	8.180	-5.410	754.235	-7.255	754.235	1.000	0.860	188.350	p	s	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	487.8190	487.7891	487.8591		2794	2784	2806	0.776	0.665	487.7891	487.8591	2784	2806	487.8185	0.0108	-0.7889	1.000	9999.0000	0.0027	0.0254	15.5823	19239	0.789	0.775	0.0213	-4.36	212.9	19.7	32.7	0.826	1.000	0.0646	0.034	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4880.908	488.0908	-0.910	2.1540	17373.182	1.0	4.6930	37851.597	1.0	3.0	0.490	0.530	GA	3.47E+08	8.540	-5.510	-7.620	-7.620	-7.620	1.000	0.110	5.530	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	488.0950	488.0811	488.1160		2881	2876	2887	0.060	-0.051	488.0811	488.1160	2876	2887	488.0951	0.0047	-0.0652	1.000	9999.0000	0.0106	0.0112	6.8625	43685	0.065	0.035	0.0008	-5.80	7.7	11.1	35.2	0.999	1.000	0.0285	0.012	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4887.194	488.7194	-0.850	4.1910	33802.695	2.0	6.7270	54256.916	2.0	5.0	1.500	0.760	GA	2.95E+08	8.470	-4.390	-7.520	-7.520	-7.520	1.000	0.740	71.050	d	f	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	488.7190	488.7117	488.7305		3079	3076	3082	0.472	0.361	488.7117	488.7305	3076	3082	488.7194	0.0060	-0.4890	1.000	9999.0000	0.0045	0.0141	8.6322	34730	0.489	0.359	0.0073	-4.82	73.2	9.9	43.8	0.777	1.000	0.0359	0.023	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4892.859	489.2859	-1.290	4.2180	34020.464	1.0	6.7510	54450.487	1.0	3.0	1.490	1.470	AO	2.95E+08	8.470	-4.760	1015.278	-7.134	1015.278	1.000	0.640	49.850	d	f	F	0	1	26.0	26.000000	26.00	1970A&A...	T	T	T	T	T	T	489.2860	489.2649	489.2990		3260	3253	3264	0.410	0.299	489.2649	489.2990	3253	3264	489.2862	0.0050	-0.4084	1.000	9999.0000	0.0033	0.0118	7.2097	41582	0.408	0.402	0.0051	-4.98	51.2	6.1	58.8	0.904	1.000	0.0300	0.009	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4896.439	489.6439	-1.890	3.8840	31326.573	3.0	6.4150	51740.464	2.0	5.0	1.320	1.130	AO	1.55E+08	8.190	-5.570	742.244	-7.264	742.244	1.000	0.530	34.630	p	s	F	0	1	26.0	26.000000	26.00	GESHRL14	T	T	T	T	T	T	489.6440	489.6156	489.6713		3376	3366	3384	0.256	0.145	489.6156	489.6713	3366	3384	489.6443	0.0056	-0.2779	1.000	9999.0000	0.0041	0.0131	8.0335	37318	0.278	0.273	0.0039	-5.10	38.8	6.1	69.8	0.930	1.000	0.0334	0.026	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4899.909	489.9909	0.310	1.8790	15155.157	4.0	4.4090	35560.983	5.0	11.0	1.060	1.040	GA	7.08E+07	7.850	-6.060	-7.760	-7.760	-7.760	1.000	0.720	56.720	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	489.9920	489.9706	490.0013		3488	3481	3491	0.460	0.349	489.9706	490.0013	3481	3491	489.9918	0.0053	-0.4608	1.000	9999.0000	0.0033	0.0124	7.5966	39464	0.461	0.450	0.0061	-4.91	60.9	4.9	78.5	0.815	1.000	0.0316	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4909.383	490.9383	-1.231	3.9290	31689.522	2.0	6.4530	52046.956	2.0	5.0	1.170	1.570	GA	1.02E+08	8.010	-5.570	-7.530	-7.530	-7.530	1.000	0.720	61.970	d	f	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	490.9390	490.9211	490.9636		3798	3792	3806	0.495	0.384	490.9211	490.9636	3792	3806	490.9388	0.0053	-0.4965	1.000	9999.0000	0.0028	0.0125	7.6461	39209	0.496	0.460	0.0066	-4.87	66.2	4.5	83.3	0.863	1.000	0.0319	0.032	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4910.017	491.0017	-1.310	3.3970	27398.654	3.0	5.9210	47756.086	3.0	7.0	1.250	1.240	GA	7.94E+07	7.900	-5.360	-7.550	-7.550	-7.550	1.000	0.780	82.530	p	s	F	0	1	26.0	26.000000	26.00	GESHRL14	T	T	T	T	T	T	491.0020	490.9817	491.0181		3819	3812	3824	0.603	0.492	490.9817	491.0181	3812	3824	491.0023	0.0058	-0.6039	1.000	9999.0000	0.0027	0.0136	8.3257	36008	0.604	0.560	0.0088	-4.75	87.7	4.8	81.8	0.760	1.000	0.0347	0.033	0.0000	0.0000	0	0.000	False	False	False
